# wvl	a	b	c	rmse
1252.40033000 0.00397687 0.33694799 0.00000000 0.00000000
1257.41112000 0.00392992 0.32903885 0.00000000 0.00000000
1262.42094000 0.00393603 0.33006355 0.00000000 0.00000000
1267.43176000 0.00399132 0.33940218 0.00000000 0.00000000
1272.44160000 0.00404389 0.34840137 0.00000000 0.00000000
1277.45146000 0.00408048 0.35473486 0.00000000 0.00000000
1282.46233000 0.00412558 0.36261867 0.00000000 0.00000000
1287.47221000 0.00444553 0.42104362 -0.00000000 0.00000000
1292.48211000 0.00533019 0.60529456 0.00000000 0.00000000
1297.49102000 0.00564504 0.67891409 0.00000000 0.00000000
1302.50094000 0.00437566 0.40791326 -0.00000000 0.00000000
1307.51087000 0.00363414 0.28137407 0.00000000 0.00000000
1312.51982000 0.00370697 0.29276436 0.00000000 0.00000000
1317.52977000 0.00381853 0.31065171 -0.00000000 0.00000000
1322.53874000 0.00380690 0.30876133 0.00000000 0.00000000
1327.54772000 0.00372293 0.29529183 -0.00000000 0.00000000
1332.55670000 0.00362672 0.28022594 0.00000000 0.00000000
1337.56570000 0.00355719 0.26958483 0.00000000 0.00000000
1342.57371000 0.00351728 0.26356962 -0.00000000 0.00000000
1347.58272000 0.00350776 0.26214486 -0.00000000 0.00000000
1352.59174000 0.00351638 0.26343382 0.00000000 0.00000000
1357.59977000 0.00353486 0.26621039 -0.00000000 0.00000000
1362.60781000 0.00354839 0.26825177 -0.00000000 0.00000000
1367.61586000 0.00350382 0.26155648 -0.00000000 0.00000000
1372.62391000 0.00343204 0.25094883 -0.00000000 0.00000000
1377.63197000 0.00340166 0.24652630 0.00000000 0.00000000
1382.64004000 0.00340679 0.24727050 0.00000000 0.00000000
1387.64711000 0.00334628 0.23856464 -0.00000000 0.00000000
1392.65519000 0.00330260 0.23237693 0.00000000 0.00000000
1397.66227000 0.00327651 0.22871921 -0.00000000 0.00000000
1402.67036000 0.00323949 0.22358077 -0.00000000 0.00000000
1407.67745000 0.00320165 0.21838813 -0.00000000 0.00000000
1412.68455000 0.00315545 0.21213047 0.00000000 0.00000000
1417.69065000 0.00310808 0.20580919 -0.00000000 0.00000000
1422.69775000 0.00306563 0.20022622 -0.00000000 0.00000000
1427.70486000 0.00303545 0.19630299 -0.00000000 0.00000000
1432.71096000 0.00300752 0.19270742 -0.00000000 0.00000000
1437.71707000 0.00297540 0.18861337 -0.00000000 0.00000000
1442.72419000 0.00294248 0.18446187 -0.00000000 0.00000000
1447.73030000 0.00291006 0.18042008 -0.00000000 0.00000000
1452.73641000 0.00288265 0.17703782 -0.00000000 0.00000000
1457.74153000 0.00286098 0.17438551 0.00000000 0.00000000
1462.74764000 0.00284453 0.17238539 0.00000000 0.00000000
1467.75376000 0.00282722 0.17029479 0.00000000 0.00000000
1472.75887000 0.00280534 0.16766808 -0.00000000 0.00000000
1477.76398000 0.00277617 0.16420035 -0.00000000 0.00000000
1482.76909000 0.00275252 0.16141364 0.00000000 0.00000000
1487.77420000 0.00272882 0.15864680 0.00000000 0.00000000
1492.77931000 0.00270623 0.15603059 0.00000000 0.00000000
1497.78442000 0.00268365 0.15343815 0.00000000 0.00000000
1502.78852000 0.00266106 0.15086535 0.00000000 0.00000000
1507.79362000 0.00264081 0.14857871 0.00000000 0.00000000
1512.79771000 0.00262076 0.14633035 0.00000000 0.00000000
1517.80181000 0.00259765 0.14376184 -0.00000000 0.00000000
1522.80589000 0.00257299 0.14104471 0.00000000 0.00000000
1527.80997000 0.00255105 0.13864990 -0.00000000 0.00000000
1532.81305000 0.00253056 0.13643179 -0.00000000 0.00000000
1537.81712000 0.00251320 0.13456636 0.00000000 0.00000000
1542.82019000 0.00249876 0.13302355 0.00000000 0.00000000
1547.82425000 0.00248639 0.13170992 -0.00000000 0.00000000
1552.82730000 0.00247448 0.13045160 -0.00000000 0.00000000
1557.83035000 0.00245889 0.12881305 -0.00000000 0.00000000
1562.83239000 0.00243885 0.12672138 0.00000000 0.00000000
1567.83542000 0.00241612 0.12437028 -0.00000000 0.00000000
1572.83844000 0.00239435 0.12213927 -0.00000000 0.00000000
1577.84046000 0.00237452 0.12012423 0.00000000 0.00000000
1582.84246000 0.00235848 0.11850699 -0.00000000 0.00000000
1587.84446000 0.00234526 0.11718269 0.00000000 0.00000000
1592.84644000 0.00233401 0.11632498 -0.00000000 0.00000000
1597.84842000 0.00232010 0.11494290 -0.00000000 0.00000000
1602.85039000 0.00230520 0.11347125 0.00000000 0.00000000
1607.85134000 0.00229263 0.11223662 -0.00000000 0.00000000
1612.85228000 0.00228338 0.11133250 0.00000000 0.00000000
1617.85322000 0.00227228 0.11025291 0.00000000 0.00000000
1622.85414000 0.00225897 0.10896484 0.00000000 0.00000000
1627.85504000 0.00224121 0.10725837 -0.00000000 0.00000000
1632.85594000 0.00222435 0.10565103 -0.00000000 0.00000000
1637.85582000 0.00220658 0.10396921 -0.00000000 0.00000000
1642.85669000 0.00219649 0.10302084 0.00000000 0.00000000
1647.85655000 0.00218548 0.10199052 -0.00000000 0.00000000
1652.85639000 0.00217588 0.10109652 0.00000000 0.00000000
1657.85621000 0.00216608 0.10018777 0.00000000 0.00000000
1662.85502000 0.00215694 0.09934409 0.00000000 0.00000000
1667.85482000 0.00214571 0.09831249 -0.00000000 0.00000000
1672.85360000 0.00213435 0.09727475 0.00000000 0.00000000
1677.85236000 0.00212407 0.09633972 0.00000000 0.00000000
1682.85111000 0.00211521 0.09553772 0.00000000 0.00000000
1687.84984000 0.00210473 0.09459324 0.00000000 0.00000000
1692.84856000 0.00209482 0.09370495 -0.00000000 0.00000000
1697.84625000 0.00208426 0.09276204 0.00000000 0.00000000
1702.84493000 0.00207490 0.09193133 -0.00000000 0.00000000
1707.84259000 0.00206337 0.09091177 0.00000000 0.00000000
1712.84023000 0.00205262 0.08996726 0.00000000 0.00000000
1717.83685000 0.00204179 0.08902006 0.00000000 0.00000000
1722.83445000 0.00202994 0.08798966 0.00000000 0.00000000
1727.83104000 0.00201853 0.08700332 0.00000000 0.00000000
1732.82860000 0.00200696 0.08600941 -0.00000000 0.00000000
1737.82514000 0.00199657 0.08512127 -0.00000000 0.00000000
1742.82166000 0.00198689 0.08429719 -0.00000000 0.00000000
1747.81716000 0.00197637 0.08340679 0.00000000 0.00000000
1752.81364000 0.00196529 0.08247494 -0.00000000 0.00000000
1757.80909000 0.00195277 0.08142715 0.00000000 0.00000000
1762.80452000 0.00194361 0.08066499 0.00000000 0.00000000
1767.79993000 0.00193413 0.07987980 0.00000000 0.00000000
1772.79532000 0.00192672 0.07926891 -0.00000000 0.00000000
1777.79068000 0.00192295 0.07895964 -0.00000000 0.00000000
1782.78502000 0.00191749 0.07851153 -0.00000000 0.00000000
1787.77933000 0.00191188 0.07805262 0.00000000 0.00000000
1792.77362000 0.00190685 0.07764223 0.00000000 0.00000000
1797.76789000 0.00190283 0.07731599 0.00000000 0.00000000
1802.76212000 0.00190297 0.07732734 0.00000000 0.00000000
1807.75534000 0.00189968 0.07705988 -0.00000000 0.00000000
1812.74852000 0.00190280 0.07731306 -0.00000000 0.00000000
1817.74168000 0.00190884 0.07780472 0.00000000 0.00000000
1822.73481000 0.00191240 0.07809565 -0.00000000 0.00000000
1827.72792000 0.00191247 0.07810096 -0.00000000 0.00000000
