wl_22c,k_22c,wl_minus8c,k_minus8c,wl_minus25c,k_minus25c,wl_minus7c,k_minus7c,wl_25c_H,k_25c_H,wl_20c,k_20c,wl_25c_S,k_25c_S,Index
755.3,1.73e-7,,,,,1563,4.39400E-04,,,738,1.5328100E-07,1180.32060,1.16032630E-05,88
756.4,1.73e-7,,,,,1587,3.70100E-04,,,739,1.5584100E-07,1191.24200,1.18121820E-05,89
757.6,1.73e-7,,,,,1613,3.37200E-04,,,740,1.5781800E-07,1199.49930,1.19949970E-05,90
758.7,1.73e-7,,,,,1650,2.41000E-04,,,741,1.5980000E-07,1210.59810,1.19058430E-05,91
759.9,1.73e-7,,,,,1680,1.89000E-04,,,742,1.6060600E-07,1218.98960,1.17901720E-05,92
761.0,1.74e-7,,,,,1700,1.66000E-04,,,743,1.6141400E-07,1230.26880,1.16024620E-05,93
762.2,1.74e-7,,,,,1730,1.45000E-04,,,744,1.6222300E-07,1238.79660,1.13888570E-05,94
763.4,1.74e-7,,,,,1760,1.28000E-04,,,745,1.6303400E-07,1250.25900,1.10022150E-05,95
764.5,1.74e-7,,,,,1800,1.03000E-04,,,746,1.6325300E-07,1258.92540,1.07907130E-05,96
765.7,1.74e-7,,,,,1830,8.60000E-05,,,747,1.6406600E-07,1270.57410,1.09048610E-05,97
766.9,1.73e-7,,,,,1840,8.22000E-05,,,748,1.6428600E-07,1279.38130,1.13943650E-05,98
768.0,1.73e-7,,,,,1850,8.03000E-05,,,749,1.6450600E-07,1291.21930,1.22115320E-05,99
769.2,1.73e-7,,,,,1855,8.50000E-05,,,750,1.6472500E-07,1300.16960,1.40020020E-05,100
770.4,1.73e-7,,,,,1860,9.90000E-05,,,751,1.6494500E-07,1309.18190,1.63904220E-05,101
771.6,1.72e-7,,,,,1870,1.50000E-04,,,752,1.6576300E-07,1321.29560,1.91200990E-05,102
772.8,1.71e-7,,,,,1890,2.95000E-04,,,753,1.6598300E-07,1330.45440,2.25055770E-05,103
774.0,1.71e-7,,,,,1905,4.68700E-04,,,754,1.6620400E-07,1339.67670,2.84898490E-05,104
775.2,1.70e-7,,,,,1923,7.61500E-04,,,755,1.6642400E-07,1348.96290,4.04659880E-05,105
776.4,1.70e-7,,,,,1942,1.01000E-03,,,756,1.6664500E-07,1361.44470,4.50495170E-05,106
777.6,1.69e-7,,,,,1961,1.31300E-03,,,757,1.6686500E-07,1370.88180,5.80350210E-05,107
778.8,1.68e-7,,,,,1980,1.53900E-03,,,758,1.6708600E-07,1380.38430,7.80171610E-05,108
780.0,1.67e-7,,,,,2000,1.58800E-03,,,759,1.6730600E-07,1389.95260,1.05996160E-04,109
781.3,1.65e-7,,,,,2020,1.54000E-03,,,760,1.6692200E-07,1399.58730,1.53034780E-04,110
782.5,1.64e-7,,,,,2041,1.41200E-03,,,761,1.6714100E-07,1409.28880,2.53974520E-04,111
783.7,1.63e-7,,,,,2062,1.24400E-03,,,762,1.6736100E-07,1419.05750,3.19734970E-04,112
784.9,1.62e-7,,,,,2083,1.06800E-03,,,763,1.6758100E-07,1428.89400,3.53826330E-04,113
786.2,1.60e-7,,,,,2105,8.41400E-04,,,764,1.6719200E-07,1438.79860,3.62902650E-04,114
787.4,1.58e-7,,,,,2130,5.65000E-04,,,765,1.6741100E-07,1448.77190,3.63739230E-04,115
788.6,1.57e-7,,,,,2150,4.32000E-04,,,766,1.6702000E-07,1458.81430,3.60404450E-04,116
789.9,1.55e-7,,,,,2170,3.50000E-04,,,767,1.6723800E-07,1468.92630,3.38680460E-04,117
791.1,1.54e-7,,,,,2190,2.87000E-04,,,768,1.6684500E-07,1479.10840,3.01849280E-04,118
792.4,1.52e-7,,,,,2220,2.21000E-04,,,769,1.6645100E-07,1489.36110,2.65943970E-04,119
793.7,1.50e-7,,,,,2240,2.03000E-04,,,770,1.6605400E-07,1499.68480,2.24796810E-04,120
794.9,1.49e-7,,,,,2245,2.01000E-04,,,771,1.6565600E-07,1510.08020,1.95789840E-04,121
